"Site Crawled","https://vacationdeals.to/"
"Start Date","2026-07-30"
"Start Time","21:38:06"
"Last Modified Date","2026-07-30"
"Last Modified Time","21:44:32"
"Elapsed","00:06:24"
"Report Date","2026-07-30"
"Report Time","21:44:39"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Below 400 Pixels","0","0.00%","2391","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","2391","Internal HTML pages with 2xx response"
"Outside <head>","5","0.21%","2391","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Missing","2278","95.27%","2391","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","2391","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","2391","Internal HTML pages with 2xx response"
""
"H1"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Missing","0","0.00%","2391","Internal HTML pages with 2xx response"
"Duplicate","79","3.30%","2391","Internal HTML pages with 2xx response"
"Over 70 Characters","221","9.24%","2391","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","2391","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","2391","Internal HTML pages with 2xx response"
"Non-Sequential","971","40.61%","2391","Internal HTML pages with 2xx response"
""
"H2"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Missing","7","0.29%","2391","Internal HTML pages with 2xx response"
"Duplicate","2258","94.44%","2391","Internal HTML pages with 2xx response"
"Over 70 Characters","11","0.46%","2391","Internal HTML pages with 2xx response"
"Multiple","2262","94.60%","2391","Internal HTML pages with 2xx response"
"Non-Sequential","677","28.31%","2391","Internal HTML pages with 2xx response"
""
"Content"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","2391","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","2391","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","2391","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","2391","Internal HTML pages with 2xx response"
"Low Content Pages","0","0.00%","2391","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","2391","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","2391","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","2391","Internal HTML pages with 2xx response"
"Readability Difficult","0","0.00%","2391","Internal HTML pages with 2xx response"
"Readability Very Difficult","0","0.00%","2391","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","2391","Internal HTML pages with 2xx response"
""
"Images"
"All","0","0.00%","0","Images with 2xx response"
"Over 100 kB","0","0.00%","0","Images with 2xx response"
"Missing Alt Text","0","0.00%","0","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","0","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","0","Images with 2xx response"
"Background Images","0","0.00%","0","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","0","Images with 2xx response"
"Missing Size Attributes","0","0.00%","0","Images with 2xx response"
""
"Canonicals"
"All","2391","100.00%","2391","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","2386","99.79%","2391","Internal HTML or PDF pages with 2xx response"
"Self Referencing","2277","95.23%","2391","Internal HTML or PDF pages with 2xx response"
"Canonicalised","109","4.56%","2391","Internal HTML or PDF pages with 2xx response"
"Missing","5","0.21%","2391","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","2391","Internal HTML or PDF pages with 2xx response"
"Outside <head>","5","0.21%","2391","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","2391","Internal HTML pages with 2xx response"
"First Page","0","0.00%","2391","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","2391","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","2391","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","2391","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","2391","Internal HTML pages with 2xx response"
""
"Directives"
"All","2430","100.00%","2430","Internal URLs with 2xx response"
"Index","1778","73.17%","2430","Internal URLs with 2xx response"
"Noindex","4","0.16%","2430","Internal URLs with 2xx response"
"Follow","1782","73.33%","2430","Internal URLs with 2xx response"
"Nofollow","0","0.00%","2430","Internal URLs with 2xx response"
"None","0","0.00%","2430","Internal URLs with 2xx response"
"NoArchive","0","0.00%","2430","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","2430","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","2430","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","2430","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","2430","Internal URLs with 2xx response"
"NoODP","0","0.00%","2430","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","2430","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","2430","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","2430","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","2430","Internal URLs with 2xx response"
"Refresh","0","0.00%","2421","Internal HTML pages with 2xx response"
"Outside <head>","4","0.16%","2430","Internal URLs with 2xx response"
""
"Hreflang"
"All","2391","100.00%","2391","Internal pages with 2xx response"
"Contains hreflang","5","0.21%","2391","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","2391","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","2391","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","2391","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","2391","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","2391","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","2391","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","2391","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","2391","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","2391","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","2391","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","2391","Internal pages with 2xx response"
"Missing","0","0.00%","2391","Internal pages with 2xx response"
"Outside <head>","0","0.00%","2391","Internal pages with 2xx response"
""
"JavaScript"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","2391","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","2391","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","2391","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","2391","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","2391","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","2391","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","2391","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","2391","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","2391","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","2391","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","2391","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","2391","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","2391","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","2391","Internal HTML pages with 2xx response"
""
"Links"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","2391","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","2391","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","0","0.00%","2391","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","0","0.00%","2391","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","2391","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","2391","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","2391","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","2391","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","2391","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","2421","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","2421","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","2391","100.00%","2391","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","2391","Internal HTML pages with 2xx response"
"Missing","0","0.00%","2391","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","2391","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","2391","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","2391","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","2391","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","2391","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","2391","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","2391","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","2421","100.00%","2421","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","2421","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","2421","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","2421","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","2421","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","2421","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","2421","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","2421","Internal HTML/XML pages"
""
"PageSpeed"
"All","2391","100.00%","2391","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","2391","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","2391","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","2391","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","2391","100.00%","2391",""
"Viewport Not Set","0","0.00%","2391",""
"Target Size","0","0.00%","2391",""
"Content Not Sized Correctly","0","0.00%","2391",""
"Illegible Font Size","0","0.00%","2391",""
"Contains Unsupported Plugins","0","0.00%","2391",""
"Mobile Alternate Link","0","0.00%","2391",""
""
"Accessibility"
"All","2391","100.00%","2391",""
"Accessibility Score Poor","0","0.00%","2391",""
"Accessibility Score Needs Improvement","0","0.00%","2391",""
"Accessibility Score Good","0","0.00%","2391",""
"WCAG 2.0 A Violation","0","0.00%","2391",""
"WCAG 2.0 AA Violation","0","0.00%","2391",""
"WCAG 2.0 AAA Violation","0","0.00%","2391",""
"WCAG 2.1 AA Violation","0","0.00%","2391",""
"WCAG 2.2 AA Violation","0","0.00%","2391",""
"Best Practice Violation","0","0.00%","2391",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","2391",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","2391",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","2391",""
"Scrollable Region Requires Keyboard Access","0","0.00%","2391",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","2391",""
"Required ARIA Attributes Must Be Provided","0","0.00%","2391",""
"Role=text Should Have No Focusable Descendants","0","0.00%","2391",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","2391",""
"ARIA Attributes Require Valid Values","0","0.00%","2391",""
"ARIA Attributes Require Valid Names","0","0.00%","2391",""
"ARIA Commands Require Accessible Name","0","0.00%","2391",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","2391",""
"ARIA Input Fields Require Accessible Name","0","0.00%","2391",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","2391",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","2391",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","2391",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","2391",""
"ARIA Roles Require Valid Values","0","0.00%","2391",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","2391",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","2391",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","2391",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","2391",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","2391",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","2391",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","2391",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","2391",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","2391",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","2391",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","2391",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","2391",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","2391",""
"Page Requires One Main Landmark","0","0.00%","2391",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","2391",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","2391",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","2391",""
"Page Requires At Most One Main Landmark","0","0.00%","2391",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","2391",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","2391",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","2391",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","2391",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","2391",""
"Form <input> Elements Require Labels","0","0.00%","2391",""
"Form Elements Should Have Visible Label","0","0.00%","2391",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","2391",""
"Frames Require Title Attribute","0","0.00%","2391",""
"Frames Require Unique Title Attribute","0","0.00%","2391",""
"Frames Should Be Tested With axe-core","0","0.00%","2391",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","2391",""
"Page Must Contain <title>","0","0.00%","2391",""
"Page Must Contain <h1>","0","0.00%","2391",""
"Heading Levels Should Only Increase By One","0","0.00%","2391",""
"Headings Should Not Be Empty","0","0.00%","2391",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","2391",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","2391",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","2391",""
"HTML Element Requires Lang Attribute","0","0.00%","2391",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","2391",""
"Lang Attribute Requires Valid Value","0","0.00%","2391",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","2391",""
"Timed Meta Refresh Must Not Exist","0","0.00%","2391",""
"Image Button Requires Alternate Text","0","0.00%","2391",""
"Images Require Alternate Text","0","0.00%","2391",""
"<object> Elements Require Alternate Text","0","0.00%","2391",""
"Active <area> Elements Require Alternate Text","0","0.00%","2391",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","2391",""
"Elements Marked role=img Require Alternate Text","0","0.00%","2391",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","2391",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","2391",""
"<video> Elements Require <track> For Captions","0","0.00%","2391",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","2391",""
"Buttons Require Discernible Text","0","0.00%","2391",""
"Input Buttons Require Discernible Text","0","0.00%","2391",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","2391",""
"Links Must Be Distinguishable","0","0.00%","2391",""
"Links Require Discernible Text","0","0.00%","2391",""
"Links With Same Accessible Name","0","0.00%","2391",""
"Select Element Requires Accessible Name","0","0.00%","2391",""
"Summary Elements Require Discernible Text","0","0.00%","2391",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","2391",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","2391",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","2391",""
"Text Requires Higher Color Contrast to Background","0","0.00%","2391",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","2391",""
"Interactive Controls Must Not Be Nested","0","0.00%","2391",""
"List Items Must Be Contained In List Elements","0","0.00%","2391",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","2391",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","2391",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","2391",""
"<th> Element Requires Associated Data Cells","0","0.00%","2391",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","2391",""
"Table Headers Require Discernible Text","0","0.00%","2391",""
"Table With Identical Summary & Caption Text","0","0.00%","2391",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","2391",""
""
"Custom Search"
